,Country,Year,Area,Population,GDP per capita,Population density,Vehicle ownership,Total road deaths,Road Deaths per Million Inhabitants
22,Romania,2018,238.4,19530631.0,8700,85,329,1867,96
2,Bulgaria,2018,111.0,7050034.0,6500,65,516,611,88
15,Latvia,2018,64.6,1934379.0,12300,31,387,143,78
3,Croatia,2018,56.5,4105493.0,"11,500â€   a",74,416,317,77
20,Poland,2018,312.7,37976687.0,12400,124,672,2862,76
11,Greece,2018,132.0,10741165.0,17800,83,605,690,64
12,Hungary,2018,93.0,9778371.0,12500,108,394,629,64
5,Czechia,2018,78.9,10610055.0,17600,137,570,656,62
16,Lithuania,2018,65.3,2808901.0,13300,45,501,170,61
17,Luxembourg,2018,2.6,602005.0,80800,245,740,36,60
21,Portugal,2018,92.2,10291027.0,17900,112,479,606,59
4,Cyprus,2018,9.3,864236.0,23300,128,726,49,57
14,Italy,2018,302.1,60483973.0,26700,206,707,3310,55
1,Belgium,2018,30.5,11398589.0,35300,376,585,590,52
7,Estonia,2018,45.2,1319133.0,15100,30,620,67,51
9,France,2018,632.8,66926166.0,32800,123,590,3265,48
23,Slovakia,2018,49.0,5443120.0,15600,113,455,229,46
0,Austria,2018,83.9,8822267.0,38000,107,665,409,45
24,Slovenia,2018,20.3,2066880.0,20200,103,587,91,44
8,Finland,2018,338.4,5513130.0,36600,18,732,225,43
10,Germany,2018,357.3,82.792351,35900,237,610,3177,39
25,Spain,2018,506.0,46658447.0,25000,93,611,1806,39
18,Malta,2018,0.3,475701.0,21600,1462,726,18,38
26,Sweden,2018,438.6,10120242.0,43300,25,542,324,32
19,Netherlands,2018,41.5,17181084.0,41500,508,543,678,31
13,Ireland,2018,69.8,4830392.0,59400,70,525,146,31
6,Denmark,2018,42.9,5781190.0,47600,137,508,175,30
27,United Kingdom,2018,248.5,66273576.0,32400,273,544,1825,28
28,EU 28 Total,2018,4463.4,512379225.0,28200,121,587,25249,49
